WKT;id;nom;type;uri
"MULTIPOINT ((904495.450637946 6435722.45408115))";"27644";Les jeux du Bois Mauret;Histoire et patrimoine;http
"MULTIPOINT ((901166.201436285 6435964.6373786))";"27594";Tétras Lyre ;Faune;http
"MULTIPOINT ((898284.081059825 6439282.92630602))";"30939";Zecamp;activités de pleine nature;http://purl.org/choucas.ign.fr/oor#équipement_sport_de_nature
"MULTIPOINT ((899283.628736532 6430650.92611096))";"27615";Abri de la Peyrouse;Abri;http://purl.org/choucas.ign.fr/oor#abri
"MULTIPOINT ((897594.064547409 6436376.20858672))";"27447";Le CAMP 2 du maquis du Vercors;Résistance;http
"MULTIPOINT ((902709.208783207 6443863.56789612))";"29821";Les affleurements de silex des Plâtres;Archéologie et préhistoire;http
"MULTIPOINT ((900787.160954793 6443839.03525339))";"27681";La colline des Bains;Point de Vue;http
"MULTIPOINT ((903693.170088288 6437719.43843525))";"27650";La Baraque des Clos;Abri;http://purl.org/choucas.ign.fr/oor#abri
"MULTIPOINT ((898005.566362679 6438493.16002356))";"27449";Stade de Biathlon;activités de pleine nature;http://purl.org/choucas.ign.fr/oor#équipement_sport_de_nature
"MULTIPOINT ((903595.281167023 6442635.2037305))";"28135";Cabane de Roybon;Abri;http://purl.org/choucas.ign.fr/oor#abri
"MULTIPOINT ((902036.66659969 6443556.18543788))";"27685";Pont de l'Amour;Histoire et patrimoine;http
"MULTIPOINT ((897731.491812869 6437521.21023836))";"27451";Lapiaz;Géologie;http
"MULTIPOINT ((898402.109310156 6439375.46652151))";"27439";Les Murgers;Histoire et patrimoine;http
"MULTIPOINT ((899064.927892479 6439818.30552993))";"45310";Andarta;art et culture;http
"MULTIPOINT ((899345.789072292 6431736.29157609))";"27610";Barrière Est du Vercors;Géologie;http
"MULTIPOINT ((900662.196493815 6435853.92422832))";"27596";Le Mulet du Curé;Histoire et patrimoine;http
"MULTIPOINT ((901619.915479279 6433867.78948253))";"27602";Chénevarie;Histoire et patrimoine;http
"MULTIPOINT ((898240.715995239 6439078.75919898))";"33974";Zone nordique de Corrençon-en-Vercors;activités de pleine nature;http://purl.org/choucas.ign.fr/oor#équipement_sport_de_nature
"MULTIPOINT ((897584.511712707 6437741.46850891))";"27441";le Clariant;Histoire et patrimoine;http
"MULTIPOINT ((904072.223339438 6439363.5264552))";"27654";Arêtes du Gerbier;Point de Vue;http
"MULTIPOINT ((904201.948087707 6439738.56296093))";"27656";La Pierre des deux heures;Histoire et patrimoine;http
"MULTIPOINT ((904877.113556673 6434621.91367534))";"27636";Pré du Playnet;Point de Vue;http
"MULTIPOINT ((899187.173647888 6439735.53622503))";"45309";Le salon du Gladiateur;art et culture;http
"MULTIPOINT ((904126.493245502 6439611.37018629))";"27652";Le sentier du périmètre;Histoire et patrimoine;http
"MULTIPOINT ((900717.684470321 6436217.69740866))";"30945";Pas de la Balme;Point de Vue;http
"MULTIPOINT ((902757.310615962 6442461.2411678))";"30937";Entrainement des athlètes;activités de pleine nature;http://purl.org/choucas.ign.fr/oor#équipement_sport_de_nature
"MULTIPOINT ((897489.542161816 6434807.98098143))";"29092";Cabane de Carrette;Abri;http://purl.org/choucas.ign.fr/oor#abri
"MULTIPOINT ((903364.264796669 6443830.25122791))";"29823";Point de vue des Côtes;Archéologie et préhistoire;http
"MULTIPOINT ((902729.023130286 6441857.23404459))";"28133";Abri de la Fauge;Abri;http://purl.org/choucas.ign.fr/oor#abri
"MULTIPOINT ((897404.419103846 6437020.97615311))";"27443";le Lautaret;Point de Vue;http
"MULTIPOINT ((904425.308472426 6442630.44404884))";"28131";Col Vert;Histoire et patrimoine;http
"MULTIPOINT ((899497.624234119 6432281.08221184))";"27608";Sous la Tune de l'Ours;Histoire et patrimoine;http
"MULTIPOINT ((897575.664133431 6436422.82818992))";"27445";Le 45ème Parallèle de latitude nord;Histoire et patrimoine;http
"MULTIPOINT ((897725.407037805 6437997.11335573))";"29495";Le Champ de la Bataille;Histoire et patrimoine;http
"MULTIPOINT ((903725.831133312 6442638.0496561))";"29812";Site de Roybon;Archéologie et préhistoire;http
"MULTIPOINT ((901025.111140083 6443796.20447062))";"27683";Le lycée climatique;Histoire et patrimoine;http
